"","Mean_2001","Mean_2002","Mean_2101","Mean_2102","Mean_2111","Mean_2112","Mean_2201","Mean_2202","Mean_2211","Mean_2212","Mean_2301","Mean_2302","Mean_2311","Mean_2312","Mean_2321","Mean_2322","Mean_2331","Mean_2332","Mean_2401","Mean_2402","Mean_2501","Mean_2502","Mean_2601","Mean_2602","Mean_2611","Mean_2612","Mean_2701","Mean_2702","Mean_3001","Mean_3002","Mean_4001","Mean_4002","Mean_4011","Mean_4012","Mean_4021","Mean_4022","Mean_4101","Mean_4102","Mean_4111","Mean_4112","Mean_4201","Mean_4202","Mean_5001","Mean_5002","Mean_5011","Mean_5012","Mean_5021","Mean_5022","Mean_5101","Mean_5102","Mean_5201","Mean_5202","Mean_5301","Mean_5302","Mean_5401","Mean_5402","Mean_6001","Mean_6002","Mean_6101","Mean_6102","Mean_6201","Mean_6202","Mean_6211","Mean_6212","Mean_6221","Mean_6222","Mean_6301","Mean_6302","Mean_6401","Mean_6402","Mean_7001","Mean_7002","Mean_7011","Mean_7012","Mean_7021","Mean_7022","Mean_7101","Mean_7102","Mean_8101","Mean_8102","Mean_8111","Mean_8112","Mean_8121","Mean_8122","Mean_8201","Mean_8202","Mean_8211","Mean_8212","Mean_8301","Mean_8302","Mean_9001","Mean_9002","Mean_9011","Mean_9012","Mean_9021","Mean_9022","Mean_9031","Mean_9032","Mean_9041","Mean_9042","Mean_9051","Mean_9052","Mean_9061","Mean_9062","Mean_9071","Mean_9072","Mean_9081","Mean_9082","Mean_9100","Mean_9110","Mean_9120","Mean_9130","Mean_9140","Mean_9150","Mean_9160","Mean_9170"
"Mean_2001",1,0.233956937866983,0.660753575428811,0.403979764107126,0.927314534041435,-0.123782808167838,0.308779583893479,-0.192144052598976,0.703368330865266,-0.0276263046088368,0.474833517495041,0.14316090218095,0.17802335991452,-0.0287617647993967,0.20939080140677,-0.0213764092924728,0.660849570683252,0.207798720308003,0.364516951156329,-0.179450234858399,0.488628900737422,0.377199574607113,0.616235226454638,0.60136526950001,0.483282019586748,0.42366137536634,0.804850991368823,0.582844615409443,0.090389058659161,0.0665994839396486,0.371774563236888,-0.000781689127637837,0.501875866809863,0.161021851946799,-0.103746472877132,-0.118670426112177,0.127954805724016,-0.232641080655982,0.0856871070203773,-0.379078030526741,0.238369815092212,0.394865202956226,-0.725540506428142,-0.663032037235882,-0.388979610926742,-0.754747926944809,-0.875902799959183,-0.701756440769707,-0.335893198392422,-0.497331509810061,-0.173105858547039,-0.173308235585235,-0.569741304926349,-0.399583026028928,-0.458496253793487,-0.633038369256169,0.7631319131487,-0.0805373548329115,-0.104537286801725,-0.414139764366092,0.604251641288338,-0.140478502127247,0.423936067997722,-0.334856936485792,0.373591473703639,-0.0134800578371586,0.218804674351891,-0.0253436111857738,0.0879313228623652,0.212799302053721,0.541612274575991,0.0293104628619849,0.445311468051758,0.110402547825588,0.366399013207342,0.0726363623446616,0.540038822789998,0.282051519678057,0.313260652208961,0.744010611836907,0.492984525604942,0.523667362283866,0.248360645351925,-0.0843389659874182,0.33473781726082,0.452984193036907,0.0722604068439117,-0.280440347374611,0.229922976498374,-0.380881523246829,-0.558499136421228,-0.141183525323269,0.0114281931778367,0.157154270100557,0.261029469381292,-0.0793619620022194,-0.129607033728483,-0.19521438079612,-0.638424165582223,-0.0522524334313927,-0.258134995291169,0.238477971925735,-0.420044405671545,0.153240824583064,0.104571742826193,0.178130164596018,-0.170941403303061,0.212372989073237,0.0570678760805832,0.114118452431054,-0.454369847702411,-0.417144958361816,0.171281813900889,0.575373500049399,-0.0560134202031946,0.268028578658318
"Mean_2002",0.233956937866983,1,0.072766270019403,-0.420511212163282,-0.0770125988727737,-3.37139793702037e-06,-0.404235290582565,-0.146335101734938,0.0360943364658121,0.302271376950073,0.578700399151184,0.798141317337025,0.881238604366855,0.903831854593267,0.331802952832742,0.209062341953945,0.474790319730906,0.906505313100282,0.582690498092602,0.842232470594821,-0.113293559579082,0.436073697336339,-0.0960355367067482,-0.1553795817592,-0.634989441432657,-0.493796082091148,-0.260150451002174,-0.305427177648856,0.629544080803379,0.49905331119682,-0.152751740505236,-0.451693549645324,0.032919520449437,-0.414827085429835,-0.854701577526727,-0.929516974386483,-0.297263443574747,-0.601559543948554,-0.635019229139733,-0.751968509533958,0.233541551546253,0.335218322094952,-0.591624702857766,0.179387766785978,-0.758826484981146,-0.509502638037615,-0.102246161641519,0.378880386965466,-0.658190372198265,-0.242416207701646,-0.262635883241432,0.0586627397420359,0.104413949854971,0.348672900118519,0.281673108410242,0.424203363138053,0.407531292238247,0.816869912674184,0.0309129642760786,0.466052732828722,0.576593907012812,0.160041646047442,0.729853604399561,0.731002809659177,-0.735440460102828,-0.529377358363504,0.201081656749163,-0.220183150745143,0.593431021359254,0.622708543644618,-0.0859025662968206,0.448072846614766,0.685528322502268,0.838978858346005,0.450337701000062,0.704879938149304,-0.381183923880121,0.239060139913122,0.423529844706891,0.312194693986431,0.478583616857077,0.558475835121625,0.386110321867222,0.469547474625517,0.349095903891902,0.651802436833959,0.430334098671458,0.0106925279729567,0.0264916569595015,0.00987060816605935,0.0294238053919219,-0.340978323707517,-0.590965550249005,-0.786846757720649,-0.468546333215539,-0.498696380403319,-0.578338785384065,0.320943149102894,0.386853866524062,0.26627883888807,-0.122581011139334,-0.492096659465163,0.262855657261705,0.29511240993022,0.0565131868308368,0.192794406923326,-0.00229300293462739,-0.143214173535498,0.652326701873534,0.355263199163449,-0.264406805846689,0.296882954269246,-0.335839817006628,0.619028922297679,-0.0716899094827131,0.0713922389987885
"Mean_2101",0.660753575428811,0.072766270019403,1,0.134652450640306,0.680598984610156,-0.418795222625618,0.426788341142724,-0.453345500118379,0.319383491363309,-0.231683574271848,0.136813951403565,-0.308582971299996,0.288215366218189,-0.303077414189024,0.346786080318302,0.314221580207828,0.675276273900848,0.24765112187388,0.475212794220284,0.0527140771184871,0.842609176964986,0.788796521026014,0.569856705812453,0.566769447578489,0.46780551888532,0.229293451159963,0.784216963898689,0.455677254915072,0.114192323827351,0.0756560979438243,0.403504532542206,0.00516422027688049,0.197550411702654,-0.026605055040933,0.111509307954937,0.0207929287999637,0.598922108875472,0.109272120221876,0.514462903110658,0.0670315385365426,0.487939031824124,0.668696909196769,-0.718101426319175,-0.755593575173605,-0.556578387081409,-0.872561481018004,-0.799500149962254,-0.777481620627587,-0.690142970877424,-0.787304594711848,-0.546789728894529,-0.594472658600576,-0.862588881560487,-0.501887407943617,-0.392786485564005,-0.549981652242929,0.831772011127791,0.0828054373820775,-0.725366421106814,-0.546153802350659,0.20739059675498,-0.593933149142811,0.297713760662618,-0.15683915669012,0.497400665148831,-0.374681704434626,-0.308106007178438,-0.650002993071706,-0.0239407374836883,-0.0635450754830389,0.909428225262804,0.413529352726945,0.481248754780878,0.212959509533135,0.683949319671362,0.351786965842379,0.839632428409506,0.645332088941409,0.648558548071606,0.890388009326601,0.53851519082537,0.511495355995909,0.693338464608197,0.481074266725543,0.680793156853249,0.0784859309913961,0.526252779322056,0.451771209058122,0.516614257651111,-0.309441365513174,-0.929069434959794,-0.635260454460974,-0.459063545666233,0.216850825473942,0.43029781263204,-0.289215149175641,-0.128305411968934,-0.527787232074861,-0.815817764229813,-0.641272926902957,-0.7213460243774,-0.0350993551479866,-0.548391632915454,-0.342110838978049,-0.285675205809838,-0.124195847758821,-0.665197395675705,-0.274995057732254,0.442391267239459,0.099409654005272,-0.416444048099461,-0.833450244389348,-0.440553779743946,0.221566318422351,-0.27849905771965,-0.0749935162296009
"Mean_2102",0.403979764107126,-0.420511212163282,0.134652450640306,1,0.519811901647291,0.12525818513423,0.433370543078335,0.547516708326003,0.803096573312719,-0.0266201229898571,-0.325183175406589,-0.0600254621045644,-0.518673315546465,-0.345773818978505,-0.260088491727218,-0.18367919619575,-0.0481826217978179,-0.529575613099545,-0.328361198242168,-0.650114626340936,0.0472178855776298,-0.285740529187479,-0.0630392322320559,0.0864449608914186,0.742675163707738,0.949169162683826,0.563822847950944,0.803537341688092,-0.789789387927873,-0.598757133173457,0.0781104164365645,0.343091325597933,0.0286730555498623,0.299296905213655,0.0691740193550215,0.43406338928693,-0.27877592542853,-0.199697498699241,0.4387658463099,-0.0144332461770172,-0.618307840188096,-0.568239449199357,-0.0332437586796083,-0.207362234194018,0.137865293427598,0.0165047714757284,-0.42419460436379,-0.457678120642271,0.229844273959074,0.372238526160423,0.18370625999091,0.338033164160085,-0.135882718052015,-0.25938887719182,-0.431325509551911,-0.38120193224486,-0.130812551923432,-0.714145181751538,-0.0914335922823911,-0.0914457077597299,-0.216079844882893,0.379739244611647,-0.506868629267096,-0.732597332000364,0.40620341261155,0.744450239960648,-0.0489938220937338,0.510898213111603,-0.735129397655509,-0.551474043882221,0.199440979959459,0.0676732386865344,-0.294865259389598,-0.772145195624894,-0.242632049559847,-0.626347500436056,0.349551037155133,0.2557174244036,-0.465495286842468,0.0270332298570714,-0.519842064792068,-0.41813288068402,-0.365315705758743,-0.603799917660967,-0.558408379568196,-0.270834216352438,-0.680611134835539,-0.518447548006966,-0.586500807960487,-0.0694230517203806,-0.0138975694240397,0.326105469375822,0.732205766326338,0.340026920632375,0.79378378841117,0.80210703743822,0.575376173738531,-0.072423708771181,-0.458884202587305,0.304488650893061,0.386312023606978,0.699120323194362,-0.259888547518367,0.484047111554464,0.609212825313277,0.685586788047604,0.0859556416545688,0.780408679027404,-0.308321048662298,0.121592819677504,0.0869581548278929,-0.146472768030223,0.631853723866199,0.217732390288936,0.567933221306501,0.74609689691953
"Mean_2111",0.927314534041435,-0.0770125988727737,0.680598984610156,0.519811901647291,1,-0.0288646308368939,0.37760067961965,-0.249416184316706,0.747682261019472,-0.0209438049447513,0.32386388055135,-0.130499051402327,-0.0144096524302601,-0.355185735742822,0.19839404079137,0.0149445251705499,0.423722950822007,-0.0457577729970694,0.335091632283953,-0.411194301042732,0.625005240100011,0.296834832608301,0.571596506927952,0.536535884486088,0.649930246337041,0.613299794223368,0.918134293957075,0.65654837245553,-0.161283426887337,-0.169228955061983,0.27299544731083,-0.0290659302820243,0.410575208660137,0.156451702111336,0.184314215828667,0.151342031695586,0.176999930322014,-0.145237409130203,0.24182783206357,-0.0985282170261206,0.156937322209546,0.312823009224566,-0.492219227225299,-0.651316950942534,-0.137253609818174,-0.602992254862537,-0.784686671897692,-0.79598757914878,-0.170081793019706,-0.400733998880131,0.0233179226110477,-0.107220355536024,-0.558318331075947,-0.573456736339618,-0.422036245575771,-0.716691343638083,0.612388449902444,-0.350803861232482,-0.195169541094821,-0.599823364096655,0.345046310456981,-0.208501752178032,0.116004934466159,-0.62527257029853,0.5983874164799,0.16588026847731,0.268582915143847,0.055586469069719,-0.0842132437178933,-0.0128210492762116,0.615581834959572,-0.0840368861062121,0.288487440215795,-0.146173766416806,0.301560599469418,-0.109580148970698,0.640197221572951,0.211771024337706,0.174797400828122,0.655822861778207,0.307314442998959,0.270024286514009,0.0751430062630599,-0.119088525638774,0.249624855878229,0.125005007490337,0.0292458408082511,-0.244312075055674,0.227195860860235,-0.505154392184383,-0.55045876756352,-0.0356031674451329,0.183098628692081,0.441493083231057,0.425197965197513,0.0765541580641397,0.181834657185419,-0.176587163292666,-0.799307861424891,-0.188614224016797,-0.255481334575072,0.306974439753801,-0.62183783812928,-0.0133531457630615,0.177435802945223,0.101944212021619,-0.260276924593295,0.212599107865359,-0.150648764676225,0.0652962657840662,-0.224407028554592,-0.553364487971871,0.27196308726834,0.384584487124082,-0.0371015090031685,0.289456783873345
"Mean_2112",-0.123782808167838,-3.37139793702037e-06,-0.418795222625618,0.12525818513423,-0.0288646308368939,1,-0.774948052863823,-0.131389525168503,0.312107754822375,0.928885357978942,0.433523115529324,0.425244426020708,0.0457182804007002,0.150567904848655,0.547127901239554,0.511374951591392,-0.487603326886839,-0.293841321646671,0.275418566682077,0.0209842801044201,-0.161245310145739,-0.187925775138015,-0.376596807122521,-0.579562431028641,-0.386277548464937,0.104912000886062,-0.303575164387967,-0.407479016489191,-0.431335925710396,-0.699189211318491,-0.805094350065561,-0.636411984062501,-0.609320968910149,-0.655290351301231,-0.0863366587723571,-0.264472435588583,-0.508416063342402,-0.57410613532171,-0.294552642365577,0.0929383739597636,-0.227502832073009,-0.334155204841128,0.303581756812796,0.701129714414931,0.269175829708896,0.371483819997176,0.448515973159686,0.484174032308888,0.223838452873224,0.566360414059635,0.815972388103794,0.793282310658064,0.751677703612364,-0.341792627302307,0.76968229429183,0.392313145381,-0.435179881148696,-0.390619087512448,0.359367906083561,-0.032923295695288,-0.434672502647912,0.734552820434354,-0.415314584552138,-0.303278411797397,-0.368016407221426,0.656810441812398,0.686267928606197,0.685776245641848,0.278805004939981,0.279785711269912,-0.199799197913492,-0.182244772539022,0.261075140318817,-0.126204083971992,0.0963025436697358,0.0602882804920387,-0.586814233896402,-0.527616443735786,-0.204369506095902,-0.275962497467385,-0.330727900701187,-0.522398538214704,-0.648624669744913,-0.201436896949824,-0.244655702440196,-0.388958550059992,-0.0594511212349096,-0.214140305225309,-0.344134482528719,-0.614304150555441,0.649298739666915,0.161785038032503,0.38394212699179,-0.241656834403035,0.0790173516988207,0.521096922784458,0.599304412486953,0.821363679245456,0.21245175018319,0.360565826326007,0.172480314478315,-0.394774180636976,-0.429066530128728,-0.0201896725540907,0.638817446803035,0.383779953339718,0.00595098461207385,0.138976743812496,-0.195197568454073,0.690524147246467,0.816662229604795,0.427387426176254,0.255711062216739,0.438636360543025,0.686144606109732,0.469258168594885
"Mean_2201",0.308779583893479,-0.404235290582565,0.426788341142724,0.433370543078335,0.37760067961965,-0.774948052863823,1,0.375686776075228,0.171333932062303,-0.876924825000039,-0.617523604706105,-0.58066091160169,-0.443042660717189,-0.520426819862451,-0.675491325261092,-0.586765974007067,0.20422215167797,-0.137444252296071,-0.442037907253693,-0.549362988798448,0.18827737936614,-0.121342653660585,0.340418344697661,0.563787249743133,0.833602802530614,0.505089434453464,0.627340768846579,0.830437635342544,-0.0899530275392458,0.260217394766806,0.757101613974702,0.747788681625643,0.655008259851928,0.811231578304066,0.298781602969439,0.607528291658645,0.298173442647985,0.471813384707176,0.479028739963902,0.116120780226474,-0.180566001086157,-0.0249222927942661,-0.100030032926377,-0.752402267748577,0.0345686657802359,-0.214452508960931,-0.542798181351222,-0.72899166894382,0.0911130600549698,-0.260625403342263,-0.479948167007573,-0.475802368609145,-0.708672038404477,0.145676284294385,-0.910743896938399,-0.588556105824599,0.238763109427466,-0.149383853458502,-0.303359559410458,-0.118706926321751,0.21383327560705,-0.559616752704426,-0.0153714028101092,-0.291723764330353,0.709250086780442,-0.120740533053767,-0.524328423640797,-0.260244807497015,-0.691723843133577,-0.66464024068736,0.224895537006742,0.0321911178597806,-0.529581128509351,-0.421945131768317,-0.345316584000737,-0.557943043444698,0.749477812670881,0.510906232499933,-0.212677211892335,0.140331071410457,-0.0695839842319786,0.106269405684234,0.259616225367482,-0.179627655239797,-0.121077133618086,0.0754164979440641,-0.349651234417958,-0.0947843731655188,0.0410546425391243,0.488793155752929,-0.551547922788015,0.20090155229903,0.149477582998134,0.612366117779098,0.347158358588329,-0.0156791582811353,-0.0580171132402514,-0.701779104125915,-0.472032249393798,-0.186594668345573,0.119773479087037,0.810767564299859,0.176977571473786,0.200333096051873,-0.232831098818225,-0.130839918121366,0.12852816435739,0.328048252049958,-0.19642695958565,-0.684838554100503,-0.573808114468317,-0.459947326262941,0.232663512125345,-0.422406426587017,-0.376409043289773,-0.115529648424801
"Mean_2202",-0.192144052598976,-0.146335101734938,-0.453345500118379,0.547516708326003,-0.249416184316706,-0.131389525168503,0.375686776075228,1,0.229679760298742,-0.290205789374496,-0.617243424987031,0.197682381360503,-0.472982639407566,0.148200502097536,-0.727905224470559,-0.524338339065188,-0.264389633014023,-0.230636808811983,-0.720607527982583,-0.314843993881163,-0.711964065217944,-0.695160290685656,-0.421160955373861,-0.180948379251688,0.256368972151064,0.424453977722969,-0.177306038064846,0.446533511938013,-0.361592547115154,-0.0530783124930244,0.166744508096454,0.602429358029315,0.154208325113244,0.496019132067058,-0.319592973833177,0.180679286604818,-0.566880303985033,-0.0963790066358456,0.00351023361299675,-0.176292337516331,-0.847643276807729,-0.827729117625435,0.247180676647845,0.157535061039764,0.115567634294329,0.394064389394735,0.0795567055376983,0.156690476634167,0.382897683957679,0.637884103480399,-0.0378548036000522,0.361708575106391,0.240204553042702,0.612891509924436,-0.374162823830481,0.211537941351779,-0.495758318562673,-0.154986919266285,0.287006242545923,0.667553625894931,-0.0716682588595198,0.448350068278233,-0.268819888575177,-0.0294182968056766,-0.127126110687855,0.405570616268397,-0.29473002861575,0.451586175481798,-0.677402463936343,-0.538252928745644,-0.542695060861812,0.131462642654051,-0.648997468962118,-0.533994615131933,-0.727498524784355,-0.665915224832829,-0.168883438041138,0.214356455799025,-0.737867178923345,-0.566813785506073,-0.682817399868182,-0.429170308074242,-0.307167149223525,-0.596345694638366,-0.824052236385946,0.0349888470233324,-0.868144285075838,-0.522288114839122,-0.814762670485374,0.713107068161821,0.421754582751913,0.55302675830956,0.533996094794876,-0.0853633433195953,0.239272675712693,0.550107525947008,0.138543555627881,0.0205031660814649,0.372870059788671,0.725099622145981,0.841191390743498,0.715898384080692,0.632792489336807,0.849158887798901,0.396734533022053,0.570720641354771,0.695400424931978,0.842383138925988,-0.188783524826232,-0.221638101284563,-0.101509899811687,0.506688862105462,0.5579633747309,-0.0761874603585896,0.414349755389105,0.394785040108185
"Mean_2211",0.703368330865266,0.0360943364658121,0.319383491363309,0.803096573312719,0.747682261019472,0.312107754822375,0.171333932062303,0.229679760298742,1,0.2945708223044,0.154160520727884,0.278681340166395,-0.0152086134697992,-0.0429657701320276,0.125743751288916,0.0961183001740332,0.119808405436122,-0.0930710252144073,0.221571900461294,-0.309479192460772,0.203028272834255,0.0136862291216959,0.000280973920316993,0.0188495845149918,0.475027951909338,0.813272701489944,0.612523478311307,0.667644075611515,-0.515373941336761,-0.477411693688186,-0.111961837269383,-0.112879150118501,0.0663375599820479,-0.0507025865479753,-0.237054820840234,-0.0465904650157477,-0.41755475445447,-0.606861484807443,0.0777443335290091,-0.255435797229742,-0.419271585745409,-0.260625880663868,-0.327294978538246,-0.155564687616376,-0.185709777577417,-0.333274700692831,-0.515135817009418,-0.379878728418417,-0.114046119572449,0.181017345948987,0.2541457890054,0.455169688218182,-0.0881431169516743,-0.309206751072541,-0.170962094680228,-0.243654976959155,0.173851873428981,-0.412626097836045,-0.0846990788651673,-0.0910680090214632,0.0616311690271783,0.381419906167622,-0.179798437661901,-0.587466645596669,0.172261347483657,0.543600761332756,0.319951641685837,0.461095441547117,-0.326233218414574,-0.198444002626895,0.289231002833522,0.194616798086465,0.190546890661773,-0.34513786446027,0.115415022717423,-0.249298844620422,0.234084326780625,0.304287047150539,-0.216353003349704,0.288443876639152,-0.21565054554485,-0.176044851510328,-0.243836288843946,-0.290011750138512,-0.251056954248914,-0.0531429511020753,-0.321641576158163,-0.48586534267836,-0.43725873129488,-0.356118788796413,-0.0537772098552773,0.167408599063599,0.453587972490176,0.0916527657946883,0.60481110477631,0.544740936357999,0.484309928127263,0.250230261295392,-0.439480330369182,0.344949410357489,0.213660801206863,0.367931678790991,-0.431168071730604,0.47130404495702,0.72738584969837,0.686341241186632,-0.0119147694418861,0.664869762277068,-0.0751775811818297,0.38817196049929,0.11253337862226,-0.098370612448914,0.51053955748617,0.614868872384198,0.51785407113073,0.784551042629483
"Mean_2212",-0.0276263046088368,0.302271376950073,-0.231683574271848,-0.0266201229898571,-0.0209438049447513,0.928885357978942,-0.876924825000039,-0.290205789374496,0.2945708223044,1,0.60300204727763,0.588738505297093,0.374142335634895,0.369988111521739,0.74769153014683,0.689954674908253,-0.223868217743365,0.00729518009325426,0.536478278306086,0.343749189190866,-0.0294830945679235,0.133284590611871,-0.35229250730164,-0.571647104607764,-0.547713800306613,-0.0644471089820672,-0.303743971220354,-0.492326771908683,-0.237829937937092,-0.568403331746207,-0.825360771940476,-0.791563953900244,-0.677593226034778,-0.850277565982751,-0.309062147583819,-0.536537585539816,-0.44076689972642,-0.699462341197023,-0.339471234063006,-0.0867995665754522,-0.0347370539454292,-0.108156044420074,0.0130959199484242,0.669095302555011,-0.0693360797407032,0.0888472365846112,0.326900753510551,0.507278385841425,-0.129926526475216,0.354510549405156,0.615474000248955,0.676149204788032,0.642770883123723,-0.351526930312015,0.840385217126944,0.463360360591311,-0.196165478810324,-0.120339459044246,0.181204812486081,0.0113856479364342,-0.311159086832262,0.683068215960661,-0.179347697512662,-0.0648493788944134,-0.541413133874232,0.411816665321556,0.625714480153641,0.447653570272813,0.462589549484419,0.460727304367642,-0.032089915138148,0.074482332049376,0.570754037310116,0.179329725310312,0.404164747472697,0.399566153738573,-0.570202096760901,-0.338090786427494,0.09204281747267,-0.0230526599294054,-0.0975172994299621,-0.279923638821227,-0.378671020574969,0.0765435327829373,0.00500684608648534,-0.240225580752028,0.215692431381521,-0.0445475016166923,-0.233134947170851,-0.676416908905307,0.492833709293168,-0.137931692201832,0.0762441755649217,-0.482174406270287,0.0280694402771285,0.320958532277459,0.39460939271889,0.796035625626686,0.198258329865256,0.266383117931239,-0.0534343926552551,-0.628537700820489,-0.456019316965232,-0.0625137351255687,0.566203330458477,0.416018276245896,-0.193067382076446,-0.0370687437301109,0.14137880470383,0.861616464936177,0.699509102883919,0.343631769600815,-0.0180460474351094,0.63326528113813,0.630263204500383,0.460627055901827
