"","Mean_2001","Mean_2002","Mean_2101","Mean_2102","Mean_2111","Mean_2112","Mean_2201","Mean_2202","Mean_2211","Mean_2212","Mean_2301","Mean_2302","Mean_2311","Mean_2312","Mean_2321","Mean_2322","Mean_2331","Mean_2332","Mean_2401","Mean_2402","Mean_2501","Mean_2502","Mean_2601","Mean_2602","Mean_2611","Mean_2612","Mean_2701","Mean_2702","Mean_3001","Mean_3002","Mean_4001","Mean_4002","Mean_4011","Mean_4012","Mean_4021","Mean_4022","Mean_4101","Mean_4102","Mean_4111","Mean_4112","Mean_4201","Mean_4202","Mean_5001","Mean_5002","Mean_5011","Mean_5012","Mean_5021","Mean_5022","Mean_5101","Mean_5102","Mean_5201","Mean_5202","Mean_5301","Mean_5302","Mean_5401","Mean_5402","Mean_6001","Mean_6002","Mean_6101","Mean_6102","Mean_6201","Mean_6202","Mean_6211","Mean_6212","Mean_6221","Mean_6222","Mean_6301","Mean_6302","Mean_6401","Mean_6402","Mean_7001","Mean_7002","Mean_7011","Mean_7012","Mean_7021","Mean_7022","Mean_7101","Mean_7102","Mean_8101","Mean_8102","Mean_8111","Mean_8112","Mean_8121","Mean_8122","Mean_8201","Mean_8202","Mean_8211","Mean_8212","Mean_8301","Mean_8302","Mean_9001","Mean_9002","Mean_9011","Mean_9012","Mean_9021","Mean_9022","Mean_9031","Mean_9032","Mean_9041","Mean_9042","Mean_9051","Mean_9052","Mean_9061","Mean_9062","Mean_9071","Mean_9072","Mean_9081","Mean_9082","Mean_9100","Mean_9110","Mean_9120","Mean_9130","Mean_9140","Mean_9150","Mean_9160","Mean_9170"
"Mean_2001",1,0.146130205989731,0.30985255430721,-0.259972445098362,-0.168200419997378,-0.675782929309299,-0.225069787456263,-0.694950935484004,-0.0735521584704705,-0.625291948767642,0.662943995875244,0.656711761276955,0.72047260236191,0.605305338996458,-0.0184958078628344,0.631397930069586,0.500560981302518,0.597332179122962,0.234756603431235,0.581381525728928,-0.0914475494376695,0.353961075072428,-0.805169623599704,-0.281111189614662,-0.399675770761962,-0.711868285983033,-0.306202039267749,-0.55573195953048,0.707328917700713,0.40813539283707,-0.857583163396025,-0.89712284624238,0.121827321010188,-0.150282619649419,-0.602357391593657,-0.513082781609453,-0.150433542920495,0.739427002284656,-0.18820494813515,0.344820803353366,0.358643385430284,0.722533921493172,-0.695095745057425,-0.470754001892682,-0.643809950135533,-0.330254729993824,-0.399184327047304,-0.590883613061369,-0.5018861315158,-0.736675641102913,-0.530504320983963,0.0324118966466984,0.646010171186689,0.852863070145152,0.0588487990218805,0.692216616757049,0.737124713948725,0.723395744951101,0.217851775035301,-0.257963385649464,-0.357211052014307,-0.416902509039378,0.780792071643114,0.593162684785219,-0.827610007522551,-0.790880076602805,-0.357250148690924,0.232368144030961,0.177279892544354,0.35705956601577,0.362072483114537,0.595128924226004,0.692787094670983,0.832132056641612,0.603190436680515,0.914810668112599,0.501403521757791,0.713521049546905,0.26441534819854,0.379853341280923,0.577224427718812,0.805807176658135,0.144625268657071,0.344853170153916,0.759805610383952,0.505816086072823,-0.248099078890053,-0.482968664616518,0.309065814985527,0.868734400383628,-0.487831283173837,-0.741559422495197,-0.632163483535655,-0.371625566690606,0.395883462278473,0.309680112822657,-0.361534292709102,-0.169935150095425,-0.429715720903767,-0.171108561678664,0.269825633258974,-0.129604660508758,0.218028573197102,0.279514619505503,-0.0204542765469145,-0.144684678767233,-0.706445445504099,-0.366537051728966,0.480233587054072,0.692171898821085,-0.694821592629708,-0.223527646521571,-0.403657774641973,0.458464757242362,0.565852567892268,0.245121298624911
"Mean_2002",0.146130205989731,1,-0.48359586350977,-0.0134669393660961,-0.743004463268678,0.18450796482143,-0.0933377174372334,0.176463246951998,-0.274591859915841,-0.217425935714502,0.196115509932463,0.0280316260112349,-0.0258726056035833,0.0211787657049621,-0.134856902876336,0.1589444946344,0.478065047073259,0.409674077514578,0.403887951929811,0.620053380749489,-0.884266121930888,-0.0599543385089912,-0.443614745458237,0.159462916649008,-0.623011957885694,-0.334090990773584,-0.54335805159944,-0.294754739067815,0.535224242635753,0.346365063520029,-0.258394257316938,-0.162418217401771,0.330382189026136,0.243351342345972,-0.223130564275497,-0.121082499517933,-0.197950536932849,0.253611456509263,-0.686588768027456,-0.0852266394529212,-0.240248419378886,0.136788811469895,-0.246485529830248,-0.102383289687257,-0.0628393356703209,0.115236055019652,0.265289992341215,0.0220945851768846,0.00507976186613611,-0.446544311086899,-0.309170470898437,-0.168423935465516,0.193985577761363,-0.191119975796346,0.148627842500125,0.150843088225375,0.396627797841977,0.646637841107953,0.367022936798393,0.00551749640742901,-0.0946957733107774,0.173804706621695,0.311345575435867,0.661579886689354,-0.24343191286829,0.0783665267353957,-0.241213280760192,0.12665574737414,0.0434611240879914,0.573936290537998,-0.312959647424267,-0.0781398366058337,-0.040129255185033,0.0625252200094348,-0.458663871431802,0.225548015674663,-0.399925822847264,-0.0966491748425596,0.626810980426736,0.639173669090507,0.393792227067006,0.359136184383984,0.224564333502378,0.198383899135849,0.21027638759982,0.292607175784909,-0.0448493865495325,-0.406698567533914,0.353458275258442,0.0846504262332551,0.301332103915829,-0.303185924451815,0.369183595485287,-0.388616991192024,-0.382734550503523,0.0985598087243111,-0.737492388963712,0.234185468098961,-0.0531676788176398,-0.0087491160860149,0.356467021243121,-0.210411382069778,0.106293631898894,0.0583002170376393,-0.200645752218585,-0.480603203935158,-0.389700109566305,-0.340789987272382,-0.124484413001793,-0.404912197522806,-0.35123584242184,-0.00550082587743058,-0.0728697902555409,0.250772857787568,0.730899262262722,0.115073623853296
"Mean_2101",0.30985255430721,-0.48359586350977,1,0.193235685184969,0.236799242299715,-0.816817199720799,0.664873743037328,-0.26421172856772,0.649634237732055,-0.474312221872224,-0.266571295103973,0.183948149927048,-0.180094957799198,0.215082725426336,0.255874841398261,0.146635883312391,-0.00921764417025621,0.088569139145918,0.462734374329175,0.307264421113163,0.317133248009838,-0.252964972614315,-0.270334340884154,-0.0146613957236087,-0.328034077073078,0.0511865665718473,-0.429767610438304,-0.651727816685606,-0.0462307581061567,-0.14724922412624,-0.409396489870398,-0.391866795663464,-0.139385404505805,-0.187093690653783,-0.595599527344592,-0.529307220313992,-0.526976596277692,0.387225478947909,0.22936557322779,0.362012416391189,0.124489622837364,0.0179005054897534,-0.565737495457851,-0.555888755725443,-0.774861313384403,-0.50499821050796,-0.685533480520976,-0.59034170983293,-0.78026956983682,-0.339381043644037,-0.588988481797509,-0.449051908573932,0.382401435894975,0.444596135330015,-0.504919354230463,0.0581169019424679,-0.0191948042857564,-0.103310408053851,-0.104722355480769,-0.0689029481415964,-0.28962958265325,-0.162736182570665,-0.133735087225121,0.25968061715057,-0.116914576040727,-0.318822377602665,-0.0206730901581535,0.331254740544691,0.644070655376705,0.29732973250189,0.524087381722713,0.550419342557391,0.368313255394754,0.351299830315126,0.687430121131111,0.40553196176955,0.0813957761907798,0.546327445004567,-0.316765351407367,-0.32178014337436,-0.172822477980057,0.162375271715822,-0.465010140221632,-0.0815678892467631,0.087514324150972,0.0558708122157427,-0.714554864558339,-0.46374546894787,-0.681689683132069,0.183995894279782,-0.873592526739402,-0.316046750890695,-0.635931159345816,-0.0605484847456448,0.96701012969561,0.556516018171836,0.287784958517265,-0.662642551208581,-0.645204495529161,-0.328998494410681,-0.0745032944967982,-0.151998912433503,0.198891024141276,0.0612144205347187,0.683976489998594,0.704289691249836,0.380651410816822,-0.472492144108443,0.80843409149716,0.572833821589038,0.132689683548107,-0.548784404181085,0.0714377887850535,0.475839510298003,-0.041340567348102,0.775714102715734
"Mean_2102",-0.259972445098362,-0.0134669393660961,0.193235685184969,1,0.517036392554431,0.0828777745298248,0.577220440682352,0.762418242803344,0.723062410832675,0.209668071750691,-0.754359342773233,-0.707173463758499,-0.581951799834317,-0.760713537309974,-0.493384970891781,-0.750319241868608,-0.74949154867388,-0.732111997583575,0.240081065455268,0.0619849641243256,0.134862174864454,-0.0694444452565485,-0.052211967182002,-0.175331463378815,-0.360179100069691,0.811394657061114,-0.341479693462859,-0.0964250861701292,-0.525470103608956,-0.895902995605467,-0.0970810278640406,0.351831630781107,-0.000729231417182498,0.834851812551341,0.315860321267157,0.54852764342861,-0.630374736616941,-0.50052779388542,-0.31712812332372,-0.720769353771363,-0.197111123178905,-0.81837362112328,-0.378417959265349,-0.65533756382355,-0.223905568639509,-0.733902735331836,-0.673943046759509,-0.579555449319986,-0.457423459563144,-0.243967226083502,-0.334879732967718,-0.71845708428065,-0.345848297027705,-0.334337603729844,-0.924056290675105,-0.850594055645053,-0.22952375609239,0.037923893375374,0.750974587880549,0.887628671938345,0.71484785086652,0.926693143988082,-0.391135025073455,0.0285186242146519,0.306247916721435,0.708515841129822,0.514020816067449,0.615277407220362,0.263422862082357,0.180533817591985,0.543022941932524,0.385684935299113,-0.395747057647508,-0.508821500073027,0.0595367696414959,-0.322217549620307,0.169629188823333,0.323250253677389,-0.730302526003231,-0.749140651110037,-0.835633317670959,-0.535120247036911,-0.938728693097368,-0.875677506030029,-0.794792649868548,-0.332127593810607,-0.0612154575405595,0.0713809682851341,-0.407906699875675,-0.608841725801468,-0.363918077269435,-0.00984271243960288,0.432055794844246,-0.024051829835552,0.349362339294487,0.562287845515802,-0.078111077595186,-0.779222971315502,-0.63951231193234,-0.861875470696688,0.517997871662142,0.10287293505054,0.630686077384069,0.7120712259189,0.653426224344151,0.589377943408505,0.393988474655019,0.247881410684828,0.500279134040797,-0.233268364122361,0.0729679193457399,-0.308568961552836,0.420460031679177,0.471808830244853,0.0533671966087241,0.381134616730385
"Mean_2111",-0.168200419997378,-0.743004463268678,0.236799242299715,0.517036392554431,1,0.122507438781511,0.0814758002140168,0.26407219189147,0.426703799487564,0.326102918219821,-0.432741140602201,-0.452976614904673,-0.113551690328211,-0.535265532859699,-0.207452909381735,-0.609404340742834,-0.867837873759857,-0.812430679857364,-0.348246575840606,-0.613170284498777,0.790705105599899,0.107568262172804,0.381636083607871,-0.283876478815743,0.440130926444528,0.648566660025312,0.465434894055486,0.437112828266925,-0.755590523368736,-0.799812768702936,0.189329013747943,0.374788740566292,-0.381800276572175,0.328565424881201,0.587128894607616,0.59823715533553,-0.117954551407372,-0.620695056666056,0.409455482585665,-0.538427782784755,0.256632230113459,-0.515084022209785,0.0894474038959299,-0.190092906975486,0.132136806053712,-0.392403321900957,-0.482247856341991,-0.277509527070516,-0.0433590050301721,0.282958733264763,0.229927864837967,-0.110092175580601,-0.474380984066094,-0.055292058495596,-0.475455903191334,-0.549356790911704,-0.405738432420272,-0.424239433618171,0.21934169930964,0.538642889216962,0.615186983660116,0.378684382235351,-0.375541876075571,-0.655868982520544,0.38924295186125,0.315987544673091,0.604357166171903,0.27076448494821,-0.123220396773995,-0.539008629465449,0.431694347417842,0.155423413251591,-0.241484019568129,-0.403133297889095,0.409150599549792,-0.411590452444924,0.572787087581819,0.199827279621809,-0.940823159852674,-0.911336171190834,-0.750888319510967,-0.629373000844467,-0.588164892505256,-0.713789662473669,-0.538519350609624,-0.488088487906732,0.348952785259103,0.545034383905017,-0.15734769748836,-0.276037287938727,-0.217261353626085,0.338527979699124,0.0713846758109975,0.380095174124149,0.298998202864257,0.0320134851784989,0.496109183908479,-0.487293815652597,-0.157566463280052,-0.4062751099656,0.0541129326541481,0.424474800802591,0.225229132685414,0.387071879391507,0.288685847165679,0.51354408849426,0.199750625177756,0.649685437095902,0.226909294216054,0.196588500795318,0.209169480080184,0.101076246647957,0.258079554253258,0.0403484964335505,-0.499176794200295,-0.160559978281271
"Mean_2112",-0.675782929309299,0.18450796482143,-0.816817199720799,0.0828777745298248,0.122507438781511,1,-0.422391487821871,0.529325560086014,-0.440888676725931,0.644335552061575,-0.217083876234258,-0.637112005412228,-0.276866305528201,-0.563613965841022,-0.17482851494451,-0.503790367243444,-0.38214563368088,-0.495493890029085,-0.511512290326054,-0.633494992549375,-0.157167790919041,-0.0434216053808451,0.649515094880012,0.299218783991428,0.495265489991546,0.380980309004602,0.503056426016469,0.832466461899651,-0.504818521957105,-0.272506559675923,0.778606192827923,0.760751661595798,-0.0279152934501492,0.206513008789366,0.799610565503827,0.716640383382282,0.345851858926923,-0.733493568904419,-0.0127576372404638,-0.572535169821278,-0.188013201955148,-0.444441492250498,0.752990513183463,0.609820909481009,0.864429981156105,0.525660247343889,0.619895190191083,0.661210317745485,0.823774585941034,0.61205073434546,0.751843498264814,0.343991784507409,-0.590578520227371,-0.731167888928182,0.289453166843829,-0.459849491495537,-0.368217203429277,-0.363575574393941,-0.00737564710608408,0.195277922656757,0.412738031840899,0.351613159200097,-0.374204002579719,-0.572617568998111,0.623272115170311,0.67340146757587,0.272880639311274,-0.305093519988419,-0.675272801279806,-0.489609813644259,-0.493787734748383,-0.723587314318812,-0.7674101058726,-0.800108626808379,-0.600966529195125,-0.763833042972079,-0.22793395645049,-0.701011217559566,-0.093811495631113,-0.123469863174531,-0.314119212274541,-0.608720122511455,0.129433670491096,-0.326477769954684,-0.473532350515644,-0.30447314105571,0.818585625407575,0.676415207011989,0.339068987811276,-0.528623976436421,0.883214591201958,0.724373527157773,0.738503270695807,0.246935821181731,-0.800892501014813,-0.507591172596392,-0.0407996356632968,0.412441682995457,0.602651416604729,0.305558842884392,-0.192862903493549,0.296971313041897,-0.355660721413786,-0.165456966662128,-0.525628800828303,-0.43997416865045,-0.0170488812906593,0.580833377579578,-0.691064205558911,-0.581454034767757,0.259239046586335,0.485435503801022,0.0664550177703899,-0.543643182739848,-0.297641767382373,-0.652458064551414
"Mean_2201",-0.225069787456263,-0.0933377174372334,0.664873743037328,0.577220440682352,0.0814758002140168,-0.422391487821871,1,0.458965135946136,0.882356788776722,-0.315125564750389,-0.747246485903414,-0.197257033591021,-0.696113515419773,-0.337311968894512,0.201061647811566,-0.383286306957109,-0.260594993297024,-0.23135725564639,0.710358617643076,0.347403593528537,0.0479700530097054,-0.571744757367819,-0.0368360547725658,-0.0409035672342411,-0.561766314072946,0.484172203471723,-0.613805154156645,-0.567728139451059,-0.250771967998489,-0.392738203498185,-0.164668735364889,0.153848951193626,-0.232504153974034,0.323927741346051,-0.285262706628195,-0.216810216089544,-0.74970074521808,-0.0550441632629341,0.0471851155354746,-0.0829831632780021,-0.0511752214885483,-0.543818475412192,-0.439838854534204,-0.587669916530393,-0.498211280150074,-0.520241291795228,-0.542284239219746,-0.451444063918761,-0.661508400458027,-0.172708986850911,-0.643393180368358,-0.833463640794258,-0.113134242370855,-0.250055997482657,-0.734264701550641,-0.416173539320516,-0.415399464418965,-0.172377815922181,0.158142593272881,0.378828900347683,0.144405333561574,0.393623156172265,-0.549172449849588,0.266504115460566,0.272769841346786,0.261148117541339,0.344215678875126,0.57545166085694,0.777090887583645,0.372313911697981,0.25279889714823,0.284580118302527,0.0616307845726995,-0.136698442158169,0.164199971572552,-0.0980294417324058,-0.356831507084761,0.146868146425193,-0.294797236305664,-0.400091576544089,-0.495045583378608,-0.277883321990926,-0.645647179211224,-0.35639904016973,-0.41681097817232,-0.349233712105522,-0.732892624478226,-0.52211360834947,-0.697470753701462,-0.355338087406168,-0.612733510922518,-0.0775168030141017,0.0816060578201247,0.149612365543137,0.670233571221467,0.471053826007517,0.273971060831294,-0.584362712444465,-0.558719391882956,-0.509810486810205,0.254965748398243,-0.0027268049793157,0.457083167124312,0.153296778101992,0.907710708122266,0.824186625562731,0.695574060742771,-0.283833659500668,0.54860272932713,-0.167890442157684,0.468189413569033,-0.361567212428957,0.57625659447142,0.541126786191694,0.0313141057013541,0.760012912178538
"Mean_2202",-0.694950935484004,0.176463246951998,-0.26421172856772,0.762418242803344,0.26407219189147,0.529325560086014,0.458965135946136,1,0.471837310683154,0.338275777158121,-0.808035523689772,-0.747359989744445,-0.725955142765508,-0.919160295469391,-0.219428814972548,-0.9056047239632,-0.698201486287127,-0.756771049723292,0.15905390645416,-0.181596759584489,-0.0452616097037195,-0.336079976282874,0.391852352618205,-0.0602152763866748,-0.147854144478484,0.828817363098887,-0.102345369321178,0.246514584238867,-0.600001104650837,-0.707980828428179,0.358087150102088,0.790999767193896,-0.198059811045075,0.783506115417025,0.5928587462322,0.643626915743905,-0.385891229873691,-0.782850191788962,-0.128387500176041,-0.802241021908788,-0.158700219962367,-0.932102166194913,0.129314972449325,-0.177670436369899,0.315963850105318,-0.234860478327746,-0.0950381407095354,-0.0151719770851411,0.0681125931959348,0.241338927349037,0.00401155398541246,-0.532231293012575,-0.728667344057236,-0.840229800929294,-0.548184625619828,-0.859603870771158,-0.59436052805912,-0.237637890169609,0.467050557490814,0.785653054710367,0.770453921490212,0.884568384792263,-0.661816665778406,-0.217651387130112,0.641364530205905,0.884642419352983,0.659937608140154,0.422210779595658,0.0821358281299339,-0.0849972973510832,-0.0581898528393459,-0.209979120548114,-0.556225189735464,-0.800627105020825,-0.401334415084043,-0.746505830882531,-0.271456128878231,-0.328298768967024,-0.426063212735407,-0.529592965128953,-0.763795760346247,-0.790741410817246,-0.565755482065181,-0.722333635141674,-0.869917946108341,-0.624029065901367,0.144983894981543,0.164616561614451,-0.14912646270856,-0.789663992979718,0.188851115632578,0.417909532902327,0.871513897136576,0.328126805998833,-0.173603035936471,0.0261133438952057,0.0993756560001416,-0.225420960815218,-0.0694564338224988,-0.447655407892364,0.396290297228764,0.326703526569344,0.389815127301207,0.330187678574223,0.402700551073065,0.353720103824877,0.460001967775677,0.455755415259807,-0.1110140330573,-0.74216863725948,0.449712096430498,0.155745694798117,0.64381731507686,0.123784197645892,-0.0932162616611137,-0.000242802323894659
"Mean_2211",-0.0735521584704705,-0.274591859915841,0.649634237732055,0.723062410832675,0.426703799487564,-0.440888676725931,0.882356788776722,0.471837310683154,1,-0.259605272654406,-0.693952277744398,-0.184304112557001,-0.474430086222198,-0.466139312770747,0.0298631627314063,-0.537295518249406,-0.516578181096178,-0.450244372384933,0.582077531363864,0.226445241216725,0.375119634350875,-0.340844641909535,-0.0705869230698955,-0.405686757721371,-0.449667053791682,0.580573406603256,-0.403476271717333,-0.424734837155124,-0.331914460278645,-0.59701750165437,-0.311403736264729,0.142425973545087,-0.379397999231776,0.540585920861518,-0.0530699207849666,0.0337110413101304,-0.749322101598471,-0.213921951720504,0.123411579200799,-0.306750856126383,0.156207695661084,-0.582026268089345,-0.529126501475304,-0.75704563390687,-0.47021782092033,-0.764853286021934,-0.780177270461929,-0.671071608334544,-0.714258025978227,-0.202992083634569,-0.63904197553496,-0.871875452522883,-0.280731183480873,-0.129168317832515,-0.875544362376651,-0.487922717020395,-0.402897610728938,-0.0783554686022388,0.407345985860853,0.64886960203814,0.457934358298944,0.52285458507572,-0.439131670878615,0.102938652100602,0.187078315892016,0.229398101791903,0.577316063240924,0.773426802049075,0.746767501656381,0.211119851180779,0.448423827130547,0.479663231623102,0.177890477777155,-0.0977050600145503,0.327029265543142,-0.115099580749086,0.059100370569638,0.356004095842289,-0.575950810812356,-0.629952113278291,-0.619474299498126,-0.365144100448833,-0.769804134837848,-0.526203417323406,-0.477793033942376,-0.502590385814164,-0.578416978003586,-0.350821153015709,-0.522797170405453,-0.284267181781249,-0.721429333496439,-0.148899976806408,0.108652614538582,0.254008439653053,0.72150149607338,0.443173933357454,0.378694506731628,-0.698598840977744,-0.62323946377284,-0.74756232827763,0.508776059596534,0.168636281740198,0.723216333434536,0.459833307044463,0.976756334153959,0.949740322671775,0.534053020059519,0.0361475452002256,0.601458882508809,-0.0887131303187772,0.324493185161084,-0.2166869138145,0.6788673862886,0.668976218740723,0.0248798911874791,0.582201449617671
"Mean_2212",-0.625291948767642,-0.217425935714502,-0.474312221872224,0.209668071750691,0.326102918219821,0.644335552061575,-0.315125564750389,0.338275777158121,-0.259605272654406,1,-0.149774348065004,-0.565835204025129,-0.158904856829448,-0.294715421216713,-0.636495345282255,-0.318225543520615,-0.463902157217584,-0.517508963480843,-0.761219398318968,-0.61775809966782,0.266844677084235,0.477092697217625,0.422787383001277,0.0705854876789383,0.619235497281497,0.544388666092889,0.529522218190897,0.697638202647929,-0.488969020919644,-0.390734086794418,0.600816319468547,0.495244728743701,0.402739827678485,0.139719680266231,0.677833232021394,0.774769339440032,0.572071116884152,-0.542770786391109,-0.190946734310748,-0.27028625421548,-0.614287977713309,-0.37120862646491,0.587829269195838,0.447390425167763,0.588963074271344,0.137722948304797,0.233472381489234,0.412763782323243,0.500039936931171,0.430288480582949,0.719403567498582,0.320975738008885,-0.317879226197433,-0.304976453099316,-0.00559233022206178,-0.57996283042145,-0.10738846793948,-0.314942102766696,0.0740837399661124,0.274792270139621,0.372064489506438,0.401626071438068,-0.138195275432807,-0.583297620642574,0.30526991569021,0.662092452103212,-0.0485189802709962,-0.535938247481392,-0.563857771634409,-0.331184250736502,0.107055450230366,-0.166227042224247,-0.688979432245734,-0.538982660504949,-0.57116802429416,-0.587761299385427,0.188957870704855,-0.213803973600582,-0.386156467240982,-0.356140056633723,-0.380026596721746,-0.458848128246646,-0.111365117812893,-0.266760796527141,-0.628836540820682,0.00952741466311997,0.539989469245688,0.878873734273869,-0.149248533529633,-0.730632251358677,0.411929781777741,0.340247327388097,0.30261043460631,-0.149101448157941,-0.51687518837911,-0.0680005272217444,-0.0457686510461929,0.0523279060937469,0.295583619827194,0.00386610128314568,-0.2081238906783,-0.230152005567364,-0.17431624100042,0.0963733686331153,-0.348969658349684,-0.181820579856378,0.350650189439127,0.441319541371059,-0.392342852852281,-0.323674959513312,-0.0390887755084517,-0.0204440843193682,-0.150433513289743,-0.592701132383511,-0.546535946798936,-0.491124946227589
