"","Precentral_L","Precentral_R","Frontal_Sup_L","Frontal_Sup_R","Frontal_Sup_Orb_L","Frontal_Sup_Orb_R","Frontal_Mid_L","Frontal_Mid_R","Frontal_Mid_Orb_L","Frontal_Mid_Orb_R","Frontal_Inf_Oper_L","Frontal_Inf_Oper_R","Frontal_Inf_Tri_L","Frontal_Inf_Tri_R","Frontal_Inf_Orb_L","Frontal_Inf_Orb_R","Rolandic_Oper_L","Rolandic_Oper_R","Supp_Motor_Area_L","Supp_Motor_Area_R","Olfactory_L","Olfactory_R","Frontal_Sup_Medial_L","Frontal_Sup_Medial_R","Frontal_Med_Orb_L","Frontal_Med_Orb_R","Rectus_L","Rectus_R","Insula_L","Insula_R","Cingulum_Ant_L","Cingulum_Ant_R","Cingulum_Mid_L","Cingulum_Mid_R","Cingulum_Post_L","Cingulum_Post_R","Hippocampus_L","Hippocampus_R","ParaHippocampal_L","ParaHippocampal_R","Amygdala_L","Amygdala_R","Calcarine_L","Calcarine_R","Cuneus_L","Cuneus_R","Lingual_L","Lingual_R","Occipital_Sup_L","Occipital_Sup_R","Occipital_Mid_L","Occipital_Mid_R","Occipital_Inf_L","Occipital_Inf_R","Fusiform_L","Fusiform_R","Postcentral_L","Postcentral_R","Parietal_Sup_L","Parietal_Sup_R","Parietal_Inf_L","Parietal_Inf_R","SupraMarginal_L","SupraMarginal_R","Angular_L","Angular_R","Precuneus_L","Precuneus_R","Paracentral_Lobule_L","Paracentral_Lobule_R","Caudate_L","Caudate_R","Putamen_L","Putamen_R","Pallidum_L","Pallidum_R","Thalamus_L","Thalamus_R","Heschl_L","Heschl_R","Temporal_Sup_L","Temporal_Sup_R","Temporal_Pole_Sup_L","Temporal_Pole_Sup_R","Temporal_Mid_L","Temporal_Mid_R","Temporal_Pole_Mid_L","Temporal_Pole_Mid_R","Temporal_Inf_L","Temporal_Inf_R","Cerebelum_Crus1_L","Cerebelum_Crus1_R","Cerebelum_Crus2_L","Cerebelum_Crus2_R","Cerebelum_3_L","Cerebelum_3_R","Cerebelum_4_5_L","Cerebelum_4_5_R","Cerebelum_6_L","Cerebelum_6_R","Cerebelum_7b_L","Cerebelum_7b_R","Cerebelum_8_L","Cerebelum_8_R","Cerebelum_9_L","Cerebelum_9_R","Cerebelum_10_L","Cerebelum_10_R","Vermis_1_2","Vermis_3","Vermis_4_5","Vermis_6","Vermis_7","Vermis_8","Vermis_9","Vermis_10"
"Precentral_L",1,0.356132604633291,-0.125737051968542,-0.25202089989413,-0.277382191613317,-0.144686012247543,-0.0368626856053798,-0.00696064490872744,-0.0343330885274542,-0.0912339974688594,0.281427684948303,0.297511902294759,0.136861291051655,0.00287493639045577,0.0738280571361382,-0.041749585716331,0.272645318145118,0.117523198331624,0.459277924516105,0.358301406253463,-0.151455822010768,-0.331705115960072,-0.247145350821823,-0.290191055582388,-0.27978383157351,-0.366226677609546,-0.14773879906539,-0.235073537836587,-0.0170900980439363,0.0357684535863504,-0.306050219751042,-0.303664750215374,0.0784359342644808,0.102658586886433,-0.177666945945764,-0.213214815633932,-0.279897931079112,-0.202479246459134,-0.208843392824905,-0.0924630012746663,-0.0545970298601099,-0.127253916292936,0.028007633110305,0.0880973299201686,0.0430765821427203,0.158986395716112,0.184094355818973,0.284710429097843,0.0604841445334186,0.186991878357492,0.0299637907332298,0.0835424352807504,0.0767929930944753,-0.0179923913314852,0.204935368135851,0.205336892531198,0.706416620490116,0.485009272088244,0.278120541491405,0.158438558877905,0.407240899316991,-0.0148506967796593,0.322569657389304,-0.0171469287887881,-0.0238028286305976,-0.152771083741669,0.0103707752046776,-0.060663673783355,0.375837362880873,0.304090407179976,-0.301532394277738,-0.305616263674436,-0.289247185676014,-0.0100592747552379,-0.326317924415998,0.0463769703668784,-0.311667410619746,-0.197835149984825,0.0825952309829772,-0.00465688840661606,0.147534000011732,-0.0563863666154754,0.0545066812650142,-0.0645789407360654,0.197589437744432,-0.267491441873868,-0.061554858769589,-0.00260758194456188,0.073333897610744,0.109286943902817,-0.161017819470552,-0.0540301590439901,-0.230670165071795,-0.178538436744581,-0.116592425122658,-0.186375884389783,-0.0534655707618339,0.154004158166144,0.187831986961027,0.18238370334226,-0.061946677046957,-0.0513284637727593,0.0914010448061164,0.233048386756274,-0.256625748536056,-0.126041473375377,-0.116292794773766,-0.0508665898104393,0.00948754112662511,-0.0416818297703064,-0.0203207460513651,-0.0246746320856223,0.0514646770257097,0.215334293264652,-0.126457114674166,-0.160941540452667
"Precentral_R",0.356132604633291,1,-0.412030616917554,-0.24394780006049,-0.29082832263319,-0.168731237688564,-0.358424792413455,-0.021097054519025,-0.207311502623211,-0.0571985385941685,0.116219380988614,0.345711836136609,0.0126582512362754,0.176327943919887,-0.0629834401307974,0.0592987138931819,0.414279543534575,0.520550350709239,0.347435987671363,0.471447408958773,0.0619568887766743,-0.10692204632911,-0.292768721680125,-0.281155349977964,-0.348010341255387,-0.278479885918171,-0.14906863814626,-0.176045383781356,0.195583265032887,0.354994376121953,-0.117343593598198,-0.225782169914743,-0.0462726419660505,0.0949605952650275,-0.428465045946503,-0.421328814641098,-0.225688320302485,-0.14805334794498,-0.0715289168801614,-0.0132080875006718,0.138350274638593,0.141456731071299,-0.244129578376317,-0.164053862749416,-0.309516995723054,-0.0885262737536707,0.0132683679477542,0.0503921015774848,-0.147776301432126,0.114597720902624,0.0418287735006655,0.0547311475105307,0.140376897347111,0.047450492839873,0.0909634115143479,0.173406194929957,0.45373675176189,0.757378766191537,0.0593290417124336,0.232720788186975,0.128371621284476,0.0670846178483564,0.335407631091012,0.276678073422484,-0.302957412002616,-0.364006547537173,-0.337981482759218,-0.252997330334544,0.370836786758827,0.342718958973403,-0.100200809580505,-0.151727237912222,0.0629212800774032,0.315606187770416,-0.124699409002175,0.223193193034073,-0.160062714912946,0.0824848785284052,0.229340256048132,0.376452254594328,0.378124626919852,0.414152010620655,0.0693234176060275,0.215817790486795,0.0280323701123965,0.0581914322082486,-0.0384456207073056,-0.0455456845617095,-0.0567855846368184,0.0172331338530563,-0.0717116070223438,-0.19459125871783,-0.288337975117405,-0.258975622241924,0.0841977347242558,0.0691792526607346,0.124423695133084,0.182779102476791,0.30343852837832,0.119933479244929,-0.058726564808591,-0.236934829813423,0.083387242717566,-0.016137250133199,-0.16793879869238,-0.226001217587582,-0.0820444629220313,-0.0904212601784684,0.0501924364409879,0.238483936091747,-0.0733128607087572,0.191123559685022,0.161649115290974,0.165893815863669,-0.0592046947018505,0.0790696958940628
"Frontal_Sup_L",-0.125737051968542,-0.412030616917554,1,0.182465896184145,0.560403365585082,0.0531695888614334,0.705980482762424,-0.23638364555194,0.42382692006772,-0.123955952149029,-0.0545453885801551,-0.458191313445993,0.0669694763487625,-0.29310693676218,0.173737999999381,-0.185547829569755,-0.122510040815705,-0.233628437180182,-0.130611126707285,-0.200232044558203,0.122055229555064,0.0889496160110574,0.645104137682735,0.479894492340217,0.50625783929856,0.30080505218041,0.302732748116364,0.242295696578701,-0.0842835725570591,-0.240310971410173,0.344423049838645,0.262831397766033,0.0300264858266368,-0.097371972615295,0.422067535754357,0.224947652604893,0.18461597356554,0.0498763079458818,0.0945340416723715,0.026254602330641,-0.043286805256633,-0.120317926960424,0.152683085380294,0.0345109749286293,-0.0417762240692454,-0.187364032517309,0.040262102817027,-0.0460007240229767,-0.144562371724069,-0.347522304541839,-0.133287381443591,-0.232308801094371,-0.230162091993628,-0.070812219209282,-0.11331280000775,-0.196349125804715,-0.100282410097565,-0.323068245006754,-0.0772397993094892,-0.353854820441348,-0.242345134674854,-0.399990070552053,-0.222958720333274,-0.308549018288649,0.309689551389418,0.102644772446293,0.248477687954866,0.00522507672213876,-0.238023357269313,-0.228357348951537,0.196821260036357,0.0569390259763404,0.000684800271317909,-0.224338753104664,0.134319347027688,-0.191878472193955,0.0973375961950585,-0.315937057391379,-0.0386805988571093,-0.188363787247769,-0.158614300547276,-0.246588261790954,-0.108384863027873,-0.198491087088676,0.0114054354961304,-0.119500595469515,0.0821155873549642,0.0843594482595671,0.0684864170368853,-0.102091402326966,-0.200207805545239,0.134608438365447,-0.00765562022883763,0.253245256621287,-0.227145170896712,-0.096478051549784,-0.117827117670391,-0.0610559576402669,-0.320045023033683,-0.218299868350489,-0.334787417617354,0.0412148871097366,-0.282689601621098,-0.114153858185351,-0.118144388556961,0.0989073480986965,-0.227225975344179,-0.123336120498304,-0.189247331711018,-0.202530357188834,0.00691126310655127,-0.181955373112854,-0.376777433775055,-0.17971765800616,-0.0855810225154644,-0.153171451041274
"Frontal_Sup_R",-0.25202089989413,-0.24394780006049,0.182465896184145,1,0.0206199385381286,0.528139063712016,0.215700090945902,0.652500009380704,0.2563523115993,0.505134116602947,-0.138176447298851,0.105445508904998,-0.061493623893534,0.244811027485589,0.102508140560771,0.230481149036752,-0.388574365634095,-0.370621902103558,-0.348503358770068,-0.115973484647125,-0.114316596389031,0.0641679626916818,0.293809862761071,0.58941509312533,0.123728532087512,0.339730394186069,0.0146701455569155,0.18290861143361,-0.190768459846493,-0.124502284387523,0.0909877976718359,0.36128913601067,-0.056837009562037,0.228564503037697,-0.0103398860211236,0.104705197026173,-0.311934583861161,-0.148117416563298,-0.162487538138213,-0.165285175029942,-0.234445521263222,-0.260016798598722,-0.159914728718331,-0.138410739155968,-0.19919553982345,-0.221047968017766,-0.255082782288691,-0.175551913155536,-0.262177118991197,-0.160746678804804,-0.153750911369487,0.0302817708272217,-0.175722464102494,-0.00847706582542849,-0.318999563750778,-0.137564800099538,-0.2963282453517,-0.051669594370584,-0.0463565203501643,0.265410175709654,-0.0557151389062688,0.488610208596555,-0.192710455643213,0.283229196775282,0.0675401967275737,0.46396820273349,0.075129415010198,0.37830761415748,-0.196524331605259,-0.201350630220249,-0.0885978398602498,0.207920777934205,-0.0114464309826894,-0.162202119656134,-0.025163327953356,-0.228171914264596,-0.147466553453313,0.0313028149519781,-0.297958870426193,-0.0776103076853938,-0.317336617445514,-0.0562415980780945,-0.109573809127851,-0.139736888845752,-0.142552934237645,0.262130675599927,0.00609644342038159,-0.00831903896365605,-0.26263584363162,0.221797184193515,0.0234168147640083,-0.167349549638472,0.32432772663071,-0.114050995782428,-0.302641748822488,-0.10166491146624,-0.312787079570108,-0.181829984469764,-0.280859226411124,-0.255628259846526,0.101048848195575,-0.0315743652963782,0.00656310829913877,-0.124313820924428,-0.0990957096665812,-0.0981621623085003,-0.18708070023206,-0.211808443246895,-0.252389604163069,-0.331011766570688,-0.133552246170017,-0.197561736618019,-0.174374160914465,-0.208500234149604,-0.113945438409638,-0.196253032442089
"Frontal_Sup_Orb_L",-0.277382191613317,-0.29082832263319,0.560403365585082,0.0206199385381286,1,0.0973370838288128,0.404022482872811,-0.271369068120399,0.412059390883815,-0.155960923082788,-0.0886564655074157,-0.459949636825931,0.0269097575965854,-0.192467615083731,-0.000544330262751836,-0.218564577039735,-0.238645336434623,-0.196566577774028,-0.280743176598082,-0.328623026537677,0.367254474903842,0.153739730178538,0.484581360839462,0.312830762271841,0.782499334538817,0.52349812595588,0.800896825058927,0.568071778843471,-0.28555125855435,-0.367194972135097,0.280348710184027,0.129362960431362,-0.078819904034847,-0.265296040632801,0.502438991165964,0.34691376453826,0.304116585876552,0.147126583065545,0.309065834355299,0.206159086701047,-0.0859886380627441,-0.150582987081399,0.374276351764353,0.231094183556754,0.0775124352697178,-0.0589054328522262,0.292070082634201,0.202885209336164,-0.045695760970444,-0.308995291034824,0.0254310016084945,-0.112922117003157,-0.0735795005352784,-0.0506801765986456,0.181313777600701,0.0875657875366054,-0.146890174918482,-0.337458447655018,-0.250692637953642,-0.344602937336972,-0.369593718510296,-0.400661156860916,-0.234164747253916,-0.470907766743985,0.335760454401597,0.229124220807731,0.250047868493382,0.061233902424966,-0.303229826591463,-0.318485785876133,0.145320026697971,-0.0418816530288668,-0.115893352993454,-0.319815167534598,0.0154675072267078,-0.246586173520239,-0.013977915896686,-0.325380597994079,-0.189754906971444,-0.212085978868746,-0.253756370095137,-0.265527009135636,-0.225467858459915,-0.165181213869947,0.0289378122702703,-0.0654493277666535,0.0836323070559821,0.205909412273326,0.110058619773516,-0.114540446913137,-0.184649322627955,0.0838669884274493,-0.0534695449153555,0.211378935100902,0.0596418492999452,0.153417561391323,0.108663500368941,0.131929752155271,-0.100778554742773,-0.0817031257436219,-0.329665021483356,-0.0581943271106852,-0.318324396978299,-0.137586164835283,-0.0429458704594853,0.142542926278091,-0.13598757963111,-0.0940054857217562,-0.117145552433678,-0.124908679993423,0.207254685307953,0.0375373463529421,-0.175334951329795,-0.118567076742503,0.00540497594598323,-0.0637773030894101
"Frontal_Sup_Orb_R",-0.144686012247543,-0.168731237688564,0.0531695888614334,0.528139063712016,0.0973370838288128,1,0.0986572444438975,0.5844109018772,0.509952497103822,0.762585393873625,0.0551284887037366,0.120469836986688,0.110901143684261,0.310734515578681,0.241956501216495,0.269660847641887,-0.128635643833085,-0.231173447127122,-0.295750946806665,-0.173803425550345,-0.0437080359557792,0.126496509977982,0.155370428482245,0.324114553247601,0.052295670746383,0.531305073843137,0.138366591910717,0.458545956730239,-0.148121497778802,-0.0629200909566517,-0.0877798652936349,0.203626598494167,-0.179104187973786,0.0755500292728708,0.0206773644435177,0.118100085489326,-0.238082602747159,-0.0447577568563156,-0.0711597724908681,-0.0621053772907311,-0.0708768786657489,-0.121703410790366,-0.0444702530926842,0.00741170381348972,-0.0680617615672735,-0.0781337941158319,-0.0117531403053681,0.0170201801754012,-0.124738600185967,-0.031736327367096,-0.0949536329726459,0.0207361799587315,0.0718014751737272,0.152946143717941,-0.133472327409535,-0.0581286083962676,-0.115762008571473,0.0437497155855256,-0.139263427942178,0.256817981525717,0.0764191173971274,0.384905042210314,-0.127312518212422,0.0311913499247716,0.0950533577266957,0.410467561328317,-0.0803489386950374,0.15982471831847,-0.103480716621557,-0.0917501955396064,-0.248490024369678,-0.00684679772133463,-0.102224082334738,-0.00765750294441245,-0.0670404498158356,-0.110299336341545,-0.225845391766358,-0.0725266774350798,-0.138532561149945,-0.131578306827843,-0.222608300417414,-0.15280690998045,-0.068963347712776,-0.103018285530288,-0.117687331865575,0.0143564999212581,-0.0323868281707411,0.00640741339171128,-0.152934317945111,0.185704499575283,-0.0314467468263613,-0.101044450180253,0.0439668896431033,-0.201972277586944,-0.232806739933212,-0.129821525872724,-0.190371076436831,-0.0766562180072111,-0.173064143888059,-0.194950261169377,-0.124411833143763,-0.170655431881819,-0.146084835126576,-0.260181801388386,-0.125967944759913,-0.132085812214666,-0.281367306871767,-0.282752170857317,-0.158906820165397,-0.138797193687315,0.00492948444492513,-0.0175045199370267,-0.159493940286677,-0.0208705587822384,0.103376939450272,-0.129275002047873
"Frontal_Mid_L",-0.0368626856053798,-0.358424792413455,0.705980482762424,0.215700090945902,0.404022482872811,0.0986572444438975,1,0.0532313290447331,0.513551514905985,0.0515999896463075,0.131435259229832,-0.290843663167295,0.256083482850261,-0.226044034276489,0.20111010394657,-0.220989831601268,-0.10145318315635,-0.267874581147467,-0.055381202145345,-0.136677813247575,-0.0270304221222611,0.0318285089481977,0.372348529500232,0.204462054758169,0.248015521405685,0.166650366353918,0.129801147467836,0.109871286131215,-0.0222962742772239,-0.215811040790564,0.274146988373873,0.195960195408483,0.0957806552310339,-0.0507974182135321,0.276049002913251,0.103619948884402,-0.105635388412284,-0.131189492505286,-0.106542387179468,-0.182518690833598,-0.223212383596584,-0.269660162910763,0.0372424114102531,0.00162133466822322,-0.111445708120972,-0.19667299627035,-0.0713665190111503,-0.132380339040507,-0.138294728114624,-0.30167376326412,-0.154290539052916,-0.222781296784614,-0.219014712520389,-0.0945673745794549,-0.28021519747798,-0.29739774287652,-0.16607356236699,-0.323287599513911,-0.0277214697613628,-0.28312054095128,0.115657753491807,-0.175208916644607,-0.0475349147469996,-0.144645655124175,0.264240777149999,0.103084133063355,0.276844730976075,0.0897220334538526,-0.317053427934277,-0.267815972173284,0.318025455209928,0.204141950393655,-0.00274747058188833,-0.175394244407253,0.126678225586555,-0.127673880892257,-0.0483602435167998,-0.325837513750092,-0.14592707561071,-0.338584810482261,-0.256061750901692,-0.24683404512742,-0.104009147736731,-0.241367659421319,-0.0408958211785521,-0.179138947145977,-0.0187898944440535,-0.13085042503449,0.00645884348603229,-0.234095671887148,-0.189024918947092,0.163280320131274,-0.0289604843629826,0.251282896164545,-0.210659212696303,-0.17304884685122,-0.264541899406309,-0.251038685511912,-0.384658361510485,-0.248808001639406,-0.199965109120549,0.209741306587702,-0.254522952259627,-0.0332434648134535,-0.188196364999239,-0.00225998362651307,-0.19166985242477,-0.0507568736161613,-0.207351638849784,-0.254664495211915,-0.0808840259992911,-0.237298187530544,-0.299858245302345,-0.301379716968645,-0.204592453765008,-0.224024057354056
"Frontal_Mid_R",-0.00696064490872744,-0.021097054519025,-0.23638364555194,0.652500009380704,-0.271369068120399,0.5844109018772,0.0532313290447331,1,0.139557002450834,0.692232940073754,0.100076599580657,0.464982482420384,0.216083949957527,0.499519781619213,0.237470004820833,0.35406098246295,-0.156828505412877,-0.206089325913674,-0.121264516065963,0.0775574761861272,-0.245050483876084,0.0150268247297697,-0.05542015515048,0.200251672124865,-0.23100032012855,0.114834322798145,-0.213570814230818,0.00137894594405257,-0.0122356285628594,0.0768468877646745,-0.123687234034081,0.192033403211188,-0.108113395050096,0.262024361807086,-0.29226941973747,-0.135196366890491,-0.436003981962325,-0.294865689867415,-0.160255484205926,-0.189052008406616,-0.173146944379741,-0.155692574342368,-0.265711264985432,-0.205404609505178,-0.285449159747009,-0.19956835229076,-0.300379895334383,-0.199757995419411,-0.27423897089312,-0.00474360262484192,-0.154251649225184,0.135386490269558,0.0586572462442473,0.104172451785929,-0.246703106352647,0.00846194810918209,-0.220343797821767,0.0937393470201943,-0.0773233335191365,0.422313762540977,0.304895644533639,0.768635295946563,0.0633047035301033,0.391949784821776,-0.123870690542471,0.378681745646995,-0.234644407408997,0.198632281724209,-0.0535291386404134,-0.0874276844842906,-0.134594297322406,0.201822173869815,0.01710265766358,0.0922152554170552,-0.0799195031865818,0.0318158337667714,-0.211419726928559,0.144827684518851,-0.247689545579534,-0.0784877432317035,-0.240315347047729,-0.0920605447268277,0.0653051132291737,-0.133164610315257,-0.199557063631047,0.12418965575653,-0.01762994739982,-0.223927076886426,-0.216269896160515,0.25679517233644,0.0475975096196286,-0.162764241374702,0.208759384298299,-0.242168118546747,-0.303422558142035,-0.238829946565016,-0.358442335106821,-0.240141083143446,-0.196813995967632,-0.188897092269282,0.192642980326398,-0.0591384922640563,-0.0217531395290111,-0.16226802331954,-0.212707261228892,-0.253945391947159,-0.176567107461344,-0.300597400224368,-0.26939140603315,-0.197468968865494,-0.192711212216869,-0.204609428061621,-0.0727237887619907,-0.144110834428817,-0.112288586624971,-0.263474177447436
"Frontal_Mid_Orb_L",-0.0343330885274542,-0.207311502623211,0.42382692006772,0.2563523115993,0.412059390883815,0.509952497103822,0.513551514905985,0.139557002450834,1,0.362791652812671,0.0540386097171036,-0.135578426049206,0.15784260230943,-0.102982555218104,0.220968996108281,-0.174591846476192,-0.159173021515435,-0.272914740360653,-0.181172266279022,-0.19842011487962,-0.0377804017706855,-0.0500477454057422,0.188088149743456,0.112774173714056,0.188661099658717,0.336043040241081,0.15948906550268,0.342515084373917,-0.112740143368249,-0.249359225848779,-0.0275334053812438,0.0507434422126201,-0.233623590493873,-0.134509960842487,0.119644295140892,0.0164338346549721,-0.289119486776124,-0.190455454235836,-0.181994662311986,-0.213506003813159,-0.302877002615397,-0.362646166914009,0.222828007438847,0.219949284625676,0.083730584658979,0.0791408674748016,0.312836226904535,0.264011243675875,0.130853329487527,0.078137400255444,0.171033265449432,0.119457256797514,0.0757843116826783,0.13253517602118,0.0224114125971089,0.110874139797865,-0.112148294452351,-0.0516966214956312,0.0807123313663739,0.100135165593219,0.0739239518667287,0.0628425350462987,-0.104312706309931,-0.15688800201204,0.164210791470864,0.213844168842196,0.129258162599585,0.101358801021414,-0.182393273793624,-0.148567650921966,-0.0926819447829837,-0.0536962640735148,-0.269298163998748,-0.247899262488482,-0.204791182504378,-0.355762644638755,-0.33548280056898,-0.421574099357127,-0.213059685539266,-0.339522024436304,-0.279341521590927,-0.32303379570322,-0.209690105943654,-0.255243895677962,-0.135389452330547,-0.20752562727555,-0.181223321440651,-0.152819918410303,-0.0623431260649043,0.122818199756369,0.0798336560569397,0.190662256461008,0.0555848312278986,0.04742712369474,-0.13245852753122,0.110839988055389,-0.0358115100544639,0.11054880627817,-0.000897209066335025,0.0632727264142059,-0.0242887982854287,0.0124259916136788,0.0297936351573017,0.132745326265913,-0.123225389497928,0.100237335961182,-0.211042110501541,-0.0297669993000401,-0.109169383380116,-0.208509541210118,-0.0988568530883527,0.130542619505792,-0.0473882978556582,-0.00691890637704062,-0.0419580525578781,-0.253553449957149
"Frontal_Mid_Orb_R",-0.0912339974688594,-0.0571985385941685,-0.123955952149029,0.505134116602947,-0.155960923082788,0.762585393873625,0.0515999896463075,0.692232940073754,0.362791652812671,1,0.140437418853106,0.274957589028212,0.181697536465928,0.420231071976376,0.388614664002754,0.37800436229992,-0.0828786812367028,-0.18846957804222,-0.189981076633317,-0.119740706819985,-0.242708939907462,-0.106452370209803,0.0371354775558988,0.275059912292824,-0.127234924076505,0.268392703371782,-0.132572105830585,0.127128926932541,-0.0951331120952108,-0.00488794407987377,-0.208508273139887,0.143318487979125,-0.176182547647292,0.117779537056582,-0.109951879405835,0.0020197109583052,-0.33195178138485,-0.107166530748776,-0.130143434321142,-0.0465849161649159,-0.134169486912524,-0.142916622212741,-0.150500145239956,-0.0900301132162098,-0.149425659797261,-0.0982038953064504,-0.142252183282331,-0.071902131415974,-0.19028705352741,-0.0171516324307458,-0.191975648663169,-0.0109562394725749,0.000543542807840597,0.0790783879456633,-0.229776290371768,-0.076964396385428,-0.132911522603818,0.0705838217803112,-0.164473299268683,0.31786952670021,0.204247188688858,0.582354095183044,-0.0840639891079223,0.126401743660516,0.0791073000576857,0.389270539352484,-0.267687660579158,0.0415802425440617,-0.127908430264813,-0.0909388548632627,-0.20465572709014,0.0855713370853158,-0.0772140871696933,0.0342041950277355,-0.104796731510352,0.00182196188046349,-0.203363989248915,0.0400236339729057,-0.145705486786736,-0.022651282363982,-0.179847537597549,-0.0570139142623087,0.0759001164602473,-0.120918178547361,-0.0629938495016151,0.0144408096097435,0.00845116090605749,-0.0953819641403564,-0.108664952574242,0.156977204979994,-0.0770806014661763,-0.11782065906684,0.0673342637244477,-0.204436484257403,-0.190432013354016,0.020307108446489,-0.284342256830673,-0.123051403916737,-0.263958545383086,-0.232873646680228,-0.019030706410657,-0.126329698845612,-0.142851418444949,-0.239405460145509,-0.157231342135391,-0.129542995239537,-0.285169244925018,-0.267942669017128,-0.16347646702802,-0.0684394362729355,-0.116277681935085,-0.121018585570819,-0.0733184926974582,-0.00680876227259739,0.112540152596783,-0.105311935022286
